Sector level TERGM (817 nodes, 28 years, 100 bootstrap)

                          Estimate   Boot mean     2.5%    97.5%
edges                   -3.1815448  -3.1808909  -3.2010  -3.1627
mutual                   4.4916555   4.4814257   4.3929   4.5752
edgecov.memory[[i]]      4.5085831   4.5056861   4.4448   4.5837
nodecov.fwd_linkage    -47.8970419 -47.6480471 -50.5263 -45.2947
edgecov.rate_mats[[i]]  -0.0040385  -0.0041041  -0.0623   0.0326
                            Estimate     Boot mean         2.5%        97.5%
edges                   -3.181544752  -3.180890884  -3.20101004  -3.16266894
mutual                   4.491655457   4.481425728   4.39289833   4.57521359
edgecov.memory[[i]]      4.508583130   4.505686099   4.44479678   4.58373658
nodecov.fwd_linkage    -47.897041908 -47.648047063 -50.52632235 -45.29467848
edgecov.rate_mats[[i]]  -0.004038503  -0.004104107  -0.06232922   0.03258573
